,weightedAvgPcvrBias,cvrStandardError
product_type,0.07452563088676686,0.11046882255669122
group_id,0.06845816969368854,0.05674830812421306
advertiser_category,0.054999935759102586,0.10598157255188263
secondary_industry_id,0.054004815716187954,0.10602241110210249
destiny_url,0.05242379161196569,0.053847960363578674
primary_industry_id,0.048722452174878327,0.07147427804479517
creative_size,0.03922736564368553,0.011790733173362536
vest_id,0.0380165174971838,0.09865719055339499
day_total,0.037889,0.0
check_type,0.03779669238214036,0.02334828429456863
expansion_hit_targeting_mask,0.03650529625364961,0.007559093210167457
is_canvas,0.035944961404920824,0.010419000000000006
